Unix Time,Run time (s),Latitude,Longitude,True Heading (degrees),Target Heading (degrees),Real Left Wheel Speed (mph),Real Right Wheel Speed (mph),Target Left Speed (mph),Target Right Speed (mph),Heading Accuracy (deg),GPS Accuracy (mm),Fix Type
1659476403,0,40.4717172,-86.9951853,167.9,648.66,0.0,0.0,-0.8,0.8,1.1,543,RTK float,
1659476403,0,40.4717172,-86.9951853,167.9,648.66,0.0,0.0,-0.8,0.8,1.1,543,RTK float,
1659476403,0,40.471717,-86.9951854,167.22,648.66,0.0,0.0,-0.8,0.8,1.07,524,RTK float,
1659476403,0,40.471717,-86.9951854,167.22,648.74,1.9,1.9,-0.8,0.8,1.07,524,RTK float,
1659476403,0,40.471717,-86.9951854,167.22,648.74,1.58,1.58,-0.8,0.8,1.07,524,RTK float,
1659476403,0,40.471717,-86.9951854,167.22,648.74,1.58,1.58,-0.8,0.8,1.07,524,RTK float,
1659476403,0,40.4717181,-86.9951835,139.06,648.74,1.62,1.62,0.0,0.0,1.09,481,RTK float,
1659476403,0,40.4717181,-86.9951835,139.06,648.74,1.62,1.62,0.0,0.0,1.09,481,RTK float,
1659476403,0,40.4717181,-86.9951835,139.06,648.74,1.7,1.7,0.0,0.0,1.09,481,RTK float,
1659476403,0,40.4717181,-86.9951835,139.06,648.74,0.0,0.0,0.0,0.0,1.09,481,RTK float,
1659476403,0,40.4717181,-86.9951835,139.06,648.74,0.0,0.0,0.0,0.0,1.09,481,RTK float,
1659476403,0,40.4717181,-86.9951835,139.06,648.74,0.0,0.0,0.0,0.0,1.09,481,RTK float,
1659476403,0,40.4717181,-86.9951835,139.06,648.74,0.0,0.0,0.0,0.0,1.09,481,RTK float,
1659476403,0,40.4717185,-86.9951829,119.01,648.74,0.0,0.0,0.0,0.0,1.1,477,RTK float,
1659476403,0,40.4717185,-86.9951829,119.01,648.74,0.0,0.0,0.0,0.0,1.1,477,RTK float,
1659476403,0,40.4717185,-86.9951829,119.01,648.74,0.0,0.0,0.0,0.0,1.1,477,RTK float,
1659476403,0,40.4717186,-86.9951829,119.7,648.74,0.0,0.0,0.0,0.0,1.08,477,RTK float,
1659476403,0,40.4717184,-86.9951827,119.05,648.74,0.0,0.0,0.0,0.0,1.09,474,RTK float,
1659476403,0,40.4717184,-86.9951827,119.05,648.74,0.0,0.0,0.0,0.0,1.09,474,RTK float,
1659476403,0,40.4717184,-86.9951827,119.05,648.74,0.0,0.0,0.0,0.0,1.09,474,RTK float,
1659476403,0,40.4717184,-86.9951827,119.05,648.74,0.0,0.0,0.0,0.0,1.09,474,RTK float,
1659476403,0,40.4717184,-86.9951827,119.05,648.74,0.0,0.0,0.0,0.0,1.09,474,RTK float,
1659476403,0,40.4717184,-86.9951827,119.05,648.74,0.0,0.0,0.3,-0.5,1.09,474,RTK float,
1659476403,0,40.4717184,-86.9951827,119.55,648.74,0.0,0.0,0.3,-0.5,1.09,474,RTK float,
1659476403,0,40.4717183,-86.9951826,119.25,648.74,-1.04,-1.04,0.0,0.0,1.09,471,RTK float,
1659476403,0,40.4717183,-86.9951826,119.25,648.74,-1.04,-1.04,0.0,0.0,1.09,471,RTK float,
1659476403,0,40.4717183,-86.9951826,119.25,648.74,0.0,0.0,0.0,0.0,1.09,471,RTK float,
1659476403,0,40.4717183,-86.9951826,119.25,648.74,0.0,0.0,0.0,0.0,1.09,471,RTK float,
1659476403,0,40.4717183,-86.9951826,119.25,648.74,0.0,0.0,0.0,0.0,1.09,471,RTK float,
1659476403,0,40.4717183,-86.9951826,119.25,648.74,0.0,0.0,0.0,0.0,1.09,471,RTK float,
1659476403,0,40.4717182,-86.9951828,124.09,648.74,0.0,0.0,0.0,0.0,1.08,471,RTK float,
1659476403,0,40.4717182,-86.9951828,124.09,648.74,0.0,0.0,0.0,0.0,1.08,471,RTK float,
